138,C2,Relig. Com sucesso,Chuvoso com raios,TAUBATÉ,09/03/2011,fevereiro,Noite,Descarga
138,C2,Relig. Com sucesso,Chuvoso com raios,TAUBATÉ,03/11/1980,fevereiro,Noite,Descarga
138,C2,Relig. Com sucesso,Chuvoso com raios,BAURU,21/12/1984,fevereiro,Noite,Descarga
88,C1,Relig. Com sucesso,Chuvoso sem raios,BAURU,09/03/2011,fevereiro,Tarde,Descarga
88,C2,Relig. Com sucesso,Chuvoso sem raios,BAURU,09/03/2011,fevereiro,Tarde,Descarga
88,C2,Relig. Com sucesso,Chuvoso sem raios,BAURU,09/03/2011,fevereiro,Tarde,Descarga
88,C1,Relig. Com sucesso,Chuvoso sem raios,TAUBATÉ,19/12/2016,fevereiro,Tarde,Descarga
138,C2,Relig. Sem sucesso,Chuvoso sem raios,TAUBATÉ,09/03/2011,fevereiro,Noite,Descarga
440,C1,Relig. Com sucesso,Chuvoso com raios,CABREÚVA,12/09/1991,fevereiro,Noite,Descarga
138,C1,Relig. Com sucesso,Chuvoso sem raios,CABREÚVA,09/03/2011,fevereiro,Noite,Descarga
88,C1,Relig. Com sucesso,Chuvoso com raios,TAUBATÉ,29/08/2006,fevereiro,Noite,Descarga
88,C2,Relig. Com sucesso,Chuvoso com raios,TAUBATÉ,29/08/2006,fevereiro,Noite,Descarga
88,C1,Relig. Sem sucesso,Chuvoso com raios,TAUBATÉ,29/08/2006,fevereiro,Noite,Descarga
88,C2,Relig. Sem sucesso,Chuvoso com raios,TAUBATÉ,29/08/2006,fevereiro,Noite,Descarga
138,C1,Relig. Com sucesso,Chuvoso sem raios,CABREÚVA,30/11/1993,fevereiro,Tarde,Descarga
138,C1,Relig. Com sucesso,Chuvoso sem raios,CABREÚVA,17/04/2011,fevereiro,Noite,Descarga
88,C2,Relig. Com sucesso,Chuvoso sem raios,BAURU,09/03/2011,fevereiro,Noite,Descarga
138,C1,Relig. Sem sucesso,Chuvoso com raios,BAURU,12/09/1991,fevereiro,Noite,Descarga
138,C2,Relig. Sem sucesso,Chuvoso com raios,CABREÚVA,09/03/2011,fevereiro,Tarde,Descarga
138,C1,Relig. Sem sucesso,Chuvoso sem raios,BAURU,10/02/1990,fevereiro,Noite,Descarga
138,C2,Relig. Sem sucesso,Chuvoso sem raios,CABREÚVA,09/03/2011,fevereiro,Noite,Descarga
138,C1,Relig. Com sucesso,Chuvoso sem raios,TAUBATÉ,03/11/1980,fevereiro,Tarde,Descarga
138,C1,Relig. Com sucesso,Chuvoso sem raios,TAUBATÉ,09/03/2011,fevereiro,Tarde,Descarga
138,C2,Relig. Com sucesso,Chuvoso sem raios,TAUBATÉ,02/01/1980,fevereiro,Tarde,Descarga
138,C1,Relig. Não informado,Chuvoso com raios,CABREÚVA,09/03/2011,fevereiro,Madrugada,Descarga
138,C2,Relig. Com sucesso,Chuvoso com raios,BAURU,09/03/2011,fevereiro,Madrugada,Descarga
138,C1,Relig. Com sucesso,Chuvoso com raios,BAURU,19/12/2016,fevereiro,Madrugada,Descarga
440,C1,Relig. Com sucesso,Chuvoso com raios,BAURU,19/12/2016,fevereiro,Tarde,Descarga
440,C1,Relig. Com sucesso,Chuvoso com raios,BAURU,22/06/2015,fevereiro,Noite,Descarga
138,C1,Relig. Com sucesso,Chuvoso com raios,CABREÚVA,02/08/2000,fevereiro,Noite,Descarga
138,C2,Relig. Com sucesso,Chuvoso com raios,CABREÚVA,02/08/2000,fevereiro,Noite,Descarga
138,C1,Relig. Com sucesso,Chuvoso sem raios,BAURU,03/11/1980,fevereiro,Tarde,Descarga
138,C2,Relig. Com sucesso,Chuvoso sem raios,BAURU,03/11/1980,fevereiro,Tarde,Descarga
138,C2,Relig. Com sucesso,Chuvoso com raios,CABREÚVA,03/11/1980,fevereiro,Noite,Descarga
138,C1,Relig. Com sucesso,Chuvoso com raios,CABREÚVA,02/08/2000,fevereiro,Noite,Descarga
138,C1,Relig. Com sucesso,Chuvoso com raios,BAURU,19/12/2016,fevereiro,Noite,Descarga
440,C2,Relig. Com sucesso,Chuvoso com raios,BAURU,22/06/2015,fevereiro,Noite,Descarga
138,C2,Relig. Sem sucesso,Chuvoso com raios,CABREÚVA,29/08/2006,fevereiro,Noite,Descarga
138,C1,Relig. Com sucesso,Chuvoso com raios,BAURU,12/09/1991,fevereiro,Tarde,Descarga
138,C1,Relig. Com sucesso,Chuvoso com raios,TAUBATÉ,09/03/2011,fevereiro,Tarde,Descarga
138,C2,Relig. Com sucesso,Chuvoso sem raios,TAUBATÉ,09/03/2011,fevereiro,Tarde,Descarga
138,C1,Relig. Com sucesso,Chuvoso com raios,CABREÚVA,02/08/2000,fevereiro,Noite,Descarga
138,C2,Relig. Com sucesso,Chuvoso com raios,BAURU,10/02/1990,fevereiro,Noite,Descarga
88,C1,Relig. Com sucesso,Chuvoso sem raios,TAUBATÉ,29/08/2006,março,Tarde,Descarga
88,C2,Relig. Com sucesso,Chuvoso sem raios,TAUBATÉ,29/08/2006,março,Tarde,Descarga
88,C1,Relig. Não informado,Chuvoso sem raios,TAUBATÉ,03/11/1980,março,Tarde,Descarga
88,C1,Relig. Com sucesso,Chuvoso sem raios,TAUBATÉ,29/08/2006,março,Tarde,Descarga
88,C2,Relig. Com sucesso,Chuvoso sem raios,TAUBATÉ,29/08/2006,março,Tarde,Descarga
88,C1,Relig. Não informado,Chuvoso com raios,TAUBATÉ,19/12/2016,março,Tarde,Descarga
138,C1,Relig. Com sucesso,Bom sem raios,CABREÚVA,09/03/2011,março,Manhã,Vegetação
440,C1,Relig. Com sucesso,Chuvoso com raios,BAURU,22/06/2015,março,Tarde,Descarga
138,C1,Relig. Bloqueado,Chuvoso com raios,BAURU,29/08/2006,março,Tarde,Descarga
138,C1,Relig. Com sucesso,Chuvoso com raios,BAURU,19/12/2016,março,Tarde,Descarga
88,C1,Relig. Com sucesso,Chuvoso sem raios,BAURU,09/03/2011,março,Tarde,Descarga
88,C2,Relig. Com sucesso,Chuvoso sem raios,BAURU,09/03/2011,março,Tarde,Descarga
138,C2,Relig. Com sucesso,Chuvoso sem raios,TAUBATÉ,09/03/2011,março,Noite,Descarga
138,C1,Relig. Com sucesso,Chuvoso sem raios,TAUBATÉ,03/11/1980,março,Tarde,Descarga
138,C1,Relig. Sem sucesso,Chuvoso sem raios,TAUBATÉ,02/08/2000,março,Tarde,Descarga
138,C1,Relig. Bloqueado,Chuvoso com raios,BAURU,29/08/2006,março,Noite,Descarga
88,C2,Relig. Com sucesso,Chuvoso sem raios,BAURU,09/03/2011,março,Tarde,Descarga
88,C1,Relig. Sem sucesso,Chuvoso com raios,BAURU,09/03/2011,abril,Noite,Descarga
88,C2,Relig. Sem sucesso,Chuvoso com raios,BAURU,09/03/2011,abril,Noite,Descarga
88,C1,Relig. Com sucesso,Chuvoso com raios,BAURU,09/03/2011,abril,Noite,Descarga
88,C2,Relig. Com sucesso,Chuvoso com raios,BAURU,09/03/2011,abril,Noite,Descarga
88,C2,Relig. Com sucesso,Chuvoso com raios,BAURU,02/08/2000,abril,Tarde,Descarga
138,C2,Relig. Com sucesso,Chuvoso com raios,CABREÚVA,02/08/2000,abril,Tarde,Descarga
138,C1,Relig. Bloqueado,Chuvoso com raios,BAURU,02/08/2000,abril,Noite,Descarga
138,C2,Relig. Bloqueado,Chuvoso com raios,BAURU,02/08/2000,abril,Noite,Descarga
138,C1,Relig. Com sucesso,Chuvoso com raios,CABREÚVA,29/08/2006,abril,Manhã,Descarga
88,C1,Relig. Com sucesso,Chuvoso com raios,TAUBATÉ,29/08/2006,abril,Manhã,Descarga
88,C2,Relig. Com sucesso,Chuvoso com raios,TAUBATÉ,29/08/2006,abril,Manhã,Descarga
138,C2,Relig. Com sucesso,Chuvoso com raios,BAURU,09/03/2011,abril,Tarde,Descarga
138,C2,Relig. Com sucesso,Chuvoso com raios,TAUBATÉ,03/11/1980,abril,Tarde,Descarga
138,C1,Relig. Com sucesso,Nublado,CABREÚVA,02/08/2000,abril,Madrugada,Pássaro
138,C1,Relig. Sem sucesso,Chuvoso com raios,BAURU,09/03/2011,abril,Noite,Descarga
138,C1,Relig. Sem sucesso,Não Informado,CABREÚVA,09/03/2011,abril,Madrugada,Pássaro
138,C2,Relig. Sem sucesso,Bom sem raios,CABREÚVA,02/08/2000,abril,Madrugada,Pássaro
88,C2,Relig. Com sucesso,Chuvoso com raios,CABREÚVA,09/03/2011,abril,Noite,Descarga
440,C1,Relig. Com sucesso,Bom sem raios,CABREÚVA,22/06/2015,maio,Tarde,Vegetação
138,C1,Relig. Com sucesso,Bom sem raios,BAURU,19/12/2016,maio,Madrugada,Descarga
138,C1,Relig. Sem sucesso,Não Informado,TAUBATÉ,09/03/2011,junho,Manhã,Cabos Para Raios
138,C1,Relig. Com sucesso,Chuvoso com raios,CABREÚVA,09/03/2011,julho,Madrugada,Pássaro
440,C1,Relig. Sem sucesso,Bom sem raios,BAURU,21/12/1978,julho,Noite,Queimada
138,C1,Relig. Com sucesso,Chuvoso com raios,BAURU,03/11/1980,agosto,Manhã,Descarga
138,C2,Relig. Com sucesso,Chuvoso com raios,BAURU,03/11/1980,agosto,Manhã,Descarga
440,C2,Relig. Com sucesso,Chuvoso sem raios,BAURU,22/06/2015,agosto,Tarde,Descarga
138,C1,Relig. Sem sucesso,Chuvoso sem raios,BAURU,12/09/1991,agosto,Tarde,Descarga
440,C1,Relig. Não informado,Chuvoso com raios,BAURU,02/08/2000,agosto,Tarde,Descarga
88,C1,Relig. Com sucesso,Chuvoso com raios,BAURU,09/03/2011,agosto,Noite,Descarga
